country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Delhi,Delhi,"Alipur, Delhi - DPCC",2026-08-09 17:00:00,28.815329,77.15301,OZONE,9.0,26.0,19.0
India,Delhi,Delhi,"Alipur, Delhi - DPCC",2026-08-09 17:00:00,28.815329,77.15301,CO,33.0,36.0,34.0
India,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",2026-08-09 17:00:00,28.647622,77.315809,NO2,22.0,70.0,43.0
India,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",2026-08-09 17:00:00,28.647622,77.315809,NH3,6.0,16.0,8.0
India,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",2026-08-09 17:00:00,28.647622,77.315809,OZONE,16.0,27.0,23.0
India,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",2026-08-09 17:00:00,28.647622,77.315809,PM2.5,19.0,324.0,133.0
India,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",2026-08-09 17:00:00,28.647622,77.315809,SO2,17.0,45.0,31.0
India,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",2026-08-09 17:00:00,28.647622,77.315809,CO,49.0,75.0,66.0
India,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC",2026-08-09 17:00:00,28.695381,77.181665,PM2.5,30.0,207.0,79.0
India,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC",2026-08-09 17:00:00,28.695381,77.181665,OZONE,4.0,5.0,4.0
India,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC",2026-08-09 17:00:00,28.695381,77.181665,NO2,15.0,83.0,36.0
India,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC",2026-08-09 17:00:00,28.695381,77.181665,NH3,4.0,8.0,5.0
India,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC",2026-08-09 17:00:00,28.695381,77.181665,SO2,34.0,39.0,37.0
India,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC",2026-08-09 17:00:00,28.695381,77.181665,PM10,82.0,180.0,128.0
India,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC",2026-08-09 17:00:00,28.695381,77.181665,CO,35.0,47.0,38.0
India,Delhi,Delhi,"Aya Nagar, Delhi - IITM",2026-08-09 17:00:00,28.4706914,77.1099364,NO2,15.0,52.0,26.0
India,Delhi,Delhi,"Aya Nagar, Delhi - IITM",2026-08-09 17:00:00,28.4706914,77.1099364,CO,17.0,26.0,21.0
India,Delhi,Delhi,"Aya Nagar, Delhi - IITM",2026-08-09 17:00:00,28.4706914,77.1099364,OZONE,23.0,41.0,35.0
India,Delhi,Delhi,"Aya Nagar, Delhi - IITM",2026-08-09 17:00:00,28.4706914,77.1099364,PM2.5,23.0,88.0,51.0
India,Delhi,Delhi,"Aya Nagar, Delhi - IITM",2026-08-09 17:00:00,28.4706914,77.1099364,PM10,19.0,116.0,75.0
India,Delhi,Delhi,"Bawana, Delhi - DPCC",2026-08-09 17:00:00,28.7762,77.051074,SO2,8.0,9.0,8.0
India,Delhi,Delhi,"Bawana, Delhi - DPCC",2026-08-09 17:00:00,28.7762,77.051074,OZONE,16.0,18.0,16.0
India,Delhi,Delhi,"Bawana, Delhi - DPCC",2026-08-09 17:00:00,28.7762,77.051074,PM2.5,77.0,338.0,195.0
India,Delhi,Delhi,"Bawana, Delhi - DPCC",2026-08-09 17:00:00,28.7762,77.051074,NH3,4.0,5.0,5.0
India,Delhi,Delhi,"Bawana, Delhi - DPCC",2026-08-09 17:00:00,28.7762,77.051074,CO,39.0,43.0,40.0
India,Delhi,Delhi,"Bawana, Delhi - DPCC",2026-08-09 17:00:00,28.7762,77.051074,NO2,4.0,19.0,10.0
India,Delhi,Delhi,"Bawana, Delhi - DPCC",2026-08-09 17:00:00,28.7762,77.051074,PM10,59.0,155.0,100.0
India,Delhi,Delhi,"Burari Crossing, Delhi - IITM",2026-08-09 17:00:00,28.7256504,77.2011573,PM2.5,17.0,139.0,72.0
India,Delhi,Delhi,"Burari Crossing, Delhi - IITM",2026-08-09 17:00:00,28.7256504,77.2011573,PM10,67.0,172.0,109.0
India,Delhi,Delhi,"Burari Crossing, Delhi - IITM",2026-08-09 17:00:00,28.7256504,77.2011573,CO,6.0,16.0,10.0
India,Delhi,Delhi,"Burari Crossing, Delhi - IITM",2026-08-09 17:00:00,28.7256504,77.2011573,NO2,4.0,139.0,42.0
India,Delhi,Delhi,"Burari Crossing, Delhi - IITM",2026-08-09 17:00:00,28.7256504,77.2011573,OZONE,43.0,64.0,56.0
India,Delhi,Delhi,"CRRI Mathura Road, Delhi - IITM",2026-08-09 17:00:00,28.5512005,77.2735737,PM2.5,40.0,208.0,74.0
India,Delhi,Delhi,"CRRI Mathura Road, Delhi - IITM",2026-08-09 17:00:00,28.5512005,77.2735737,PM10,92.0,241.0,127.0
India,Delhi,Delhi,"CRRI Mathura Road, Delhi - IITM",2026-08-09 17:00:00,28.5512005,77.2735737,NO2,1.0,31.0,16.0
India,Delhi,Delhi,"CRRI Mathura Road, Delhi - IITM",2026-08-09 17:00:00,28.5512005,77.2735737,CO,42.0,71.0,49.0
India,Delhi,Delhi,"CRRI Mathura Road, Delhi - IITM",2026-08-09 17:00:00,28.5512005,77.2735737,OZONE,23.0,45.0,35.0
India,Delhi,Delhi,"Cantonment Area, Delhi - DPCC",2026-08-09 17:00:00,28.594169,77.1251,CO,48.0,77.0,57.0
India,Delhi,Delhi,"Cantonment Area, Delhi - DPCC",2026-08-09 17:00:00,28.594169,77.1251,PM10,24.0,82.0,46.0
India,Delhi,Delhi,"Cantonment Area, Delhi - DPCC",2026-08-09 17:00:00,28.594169,77.1251,NH3,2.0,6.0,4.0
India,Delhi,Delhi,"Cantonment Area, Delhi - DPCC",2026-08-09 17:00:00,28.594169,77.1251,PM2.5,7.0,46.0,20.0
India,Delhi,Delhi,"Cantonment Area, Delhi - DPCC",2026-08-09 17:00:00,28.594169,77.1251,SO2,4.0,7.0,6.0
India,Delhi,Delhi,"Cantonment Area, Delhi - DPCC",2026-08-09 17:00:00,28.594169,77.1251,OZONE,9.0,10.0,9.0
India,Delhi,Delhi,"Cantonment Area, Delhi - DPCC",2026-08-09 17:00:00,28.594169,77.1251,NO2,3.0,17.0,8.0
India,Delhi,Delhi,"Chandni Chowk, Delhi - IITM",2026-08-09 17:00:00,28.656756,77.227234,NH3,2.0,12.0,6.0
India,Delhi,Delhi,"Chandni Chowk, Delhi - IITM",2026-08-09 17:00:00,28.656756,77.227234,NO2,7.0,29.0,15.0
India,Delhi,Delhi,"Chandni Chowk, Delhi - IITM",2026-08-09 17:00:00,28.656756,77.227234,OZONE,3.0,44.0,9.0
India,Delhi,Delhi,"Chandni Chowk, Delhi - IITM",2026-08-09 17:00:00,28.656756,77.227234,SO2,16.0,27.0,19.0
India,Delhi,Delhi,"Chandni Chowk, Delhi - IITM",2026-08-09 17:00:00,28.656756,77.227234,CO,53.0,57.0,55.0
India,Delhi,Delhi,"Chandni Chowk, Delhi - IITM",2026-08-09 17:00:00,28.656756,77.227234,PM2.5,50.0,199.0,84.0
India,Delhi,Delhi,"Chandni Chowk, Delhi - IITM",2026-08-09 17:00:00,28.656756,77.227234,PM10,70.0,229.0,124.0
India,Delhi,Delhi,"Commonwealth Sports Complex, Delhi - DPCC",2026-08-09 17:00:00,28.615828,77.271992,PM2.5,44.0,167.0,77.0
India,Delhi,Delhi,"Commonwealth Sports Complex, Delhi - DPCC",2026-08-09 17:00:00,28.615828,77.271992,PM10,62.0,132.0,95.0
